jobname,location,company,jobLink
Corporate Banking Business Analyst,Jakarta Metropolitan Area,PT. BANK NEGARA INDONESIA (Persero) Tbk.,https://id.linkedin.com/jobs/view/corporate-banking-business-analyst-at-pt-bank-negara-indonesia-persero-tbk-4004735729?position=1&pageNum=0&refId=khLUhkuUsD1fxHHOwUC7PQ%3D%3D&trackingId=PbPNrwg%2Fk0YGr7z%2BB4n50A%3D%3D
Business Analyst,"Jakarta, Indonesia",OTO,https://id.linkedin.com/jobs/view/business-analyst-at-oto-4033885329?position=2&pageNum=0&refId=khLUhkuUsD1fxHHOwUC7PQ%3D%3D&trackingId=Rv1scC0HeBdtjfMVyxGSgg%3D%3D
1,"Lembang, West Java, Indonesia",PT Adaro Energy Indonesia Tbk,https://id.linkedin.com/jobs/view/1-at-pt-adaro-energy-indonesia-tbk-4032272697?position=3&pageNum=0&refId=khLUhkuUsD1fxHHOwUC7PQ%3D%3D&trackingId=xeJe0IzlbzO78K%2BCTYVWhg%3D%3D
Data Analyst Staff,"Jakarta, Indonesia",PT. Surya Pertiwi Tbk,https://id.linkedin.com/jobs/view/data-analyst-staff-at-pt-surya-pertiwi-tbk-4027169331?position=4&pageNum=0&refId=khLUhkuUsD1fxHHOwUC7PQ%3D%3D&trackingId=EO9iXvRHLTqRgxDhRg7x1A%3D%3D
Data Analyst Marketing,"Jakarta, Jakarta, Indonesia",PT ASTRA OTOPARTS Tbk,https://id.linkedin.com/jobs/view/data-analyst-marketing-at-pt-astra-otoparts-tbk-4014381150?position=5&pageNum=0&refId=khLUhkuUsD1fxHHOwUC7PQ%3D%3D&trackingId=1Qd0nMR82G5wTDyJlovAFQ%3D%3D
1,"Lembang, West Java, Indonesia",PT Adaro Energy Indonesia Tbk,https://id.linkedin.com/jobs/view/1-at-pt-adaro-energy-indonesia-tbk-4010814119?position=6&pageNum=0&refId=khLUhkuUsD1fxHHOwUC7PQ%3D%3D&trackingId=Ffn8xS7DAFPRYcCgx41wUg%3D%3D
"Data Analyst, Business Intelligence","Jakarta, Indonesia",Shopee,https://id.linkedin.com/jobs/view/data-analyst-business-intelligence-at-shopee-3611204797?position=7&pageNum=0&refId=khLUhkuUsD1fxHHOwUC7PQ%3D%3D&trackingId=pqOnjJG5k6AopJMohi3XAw%3D%3D
"Data Analyst, Modern Trade","Jakarta, Indonesia",Kopi Kenangan,https://id.linkedin.com/jobs/view/data-analyst-modern-trade-at-kopi-kenangan-4034033217?position=8&pageNum=0&refId=khLUhkuUsD1fxHHOwUC7PQ%3D%3D&trackingId=L1JCsyWpnWCmwLAm9tvr6g%3D%3D
Financial Business Analyst,"Jakarta, Indonesia",PT Bank Sinarmas Tbk,https://id.linkedin.com/jobs/view/financial-business-analyst-at-pt-bank-sinarmas-tbk-4020413661?position=9&pageNum=0&refId=khLUhkuUsD1fxHHOwUC7PQ%3D%3D&trackingId=tDtPGxgBYAfXk3TdkB2xsQ%3D%3D
General Affair Assistant,"West Karawang, West Java, Indonesia",Kalbe Nutritionals (PT Sanghiang Perkasa),https://id.linkedin.com/jobs/view/general-affair-assistant-at-kalbe-nutritionals-pt-sanghiang-perkasa-4034192757?position=10&pageNum=0&refId=khLUhkuUsD1fxHHOwUC7PQ%3D%3D&trackingId=WrlpkmuAIgKWr9RzeUZuTA%3D%3D
